arm,game,idx,iteration,parents,depth,train_score,is_ship,on_ship_lineage,status,err_rate,split,code_chars,code_lines,sloc,ast_nodes,n_frames,n_unique_outputs,set_ratio,decoy_collapse,mean_raw_chars,mean_out_chars,dl_ratio,diversity_bytes,raw_gzip_bytes,norm_diversity,info_extraction_ratio,lzma_ratio,twopart_ratio,pf_dl_gz_ratio,code_gzip_bytes,out_vocab,n_transitions,static_rate,change_ratio
Plain,7xf97,7,8,3,3,0.4251028368794326,0,1,ok,0.0,train,2583,79,58,380,73,73,1.0,0.0,2319.6575342465753,283.4931506849315,0.1222133640416925,1336,2044,0.6536203522504892,1.2467010882274054,0.7331786542923434,1.2309197651663406,3.057562487714866,1180,73,60,0.25,0.5874074074074074
Plain,7xf97,8,10,6,4,0.24564255319148934,0,0,ok,0.0,test,4442,132,105,637,65,65,1.0,,2319.476923076923,335.0615384615385,0.14445564649854742,1031,1735,0.5942363112391931,2.4019049027641777,0.6811989100817438,1.5867435158501442,3.5718137370877545,1722,73,50,0.18,0.7459349593495934
Plain,7xf97,8,10,6,4,0.24564255319148934,0,0,ok,0.0,train,4442,132,105,637,73,73,1.0,0.0,2319.6575342465753,329.1917808219178,0.141913957539788,1179,2044,0.5768101761252447,2.4236544803613698,0.654292343387471,1.4192759295499022,3.577328024288617,1722,79,60,0.25,0.5992592592592593
Plain,7xf97,9,11,7,4,0.0,0,0,syntax,1.0,test,4073,123,103,-1,65,1,0.015384615384615385,,2319.476923076923,0.0,0.0,24,1735,0.0138328530259366,0.213561140822199,0.04632152588555858,0.9890489913544669,0.0,1692,0,50,1.0,0.0
Plain,7xf97,9,11,7,4,0.0,0,0,syntax,1.0,train,4073,123,103,-1,73,1,0.0136986301369863,1.0,2319.6575342465753,0.0,0.0,24,2044,0.011741682974559686,0.21854515367779634,0.03944315545243619,0.8395303326810176,0.0,1692,0,60,1.0,0.0
Plain,7xf97,10,12,7,4,0.6245049645390071,0,1,ok,0.0,test,2583,79,58,380,65,65,1.0,,2319.476923076923,295.9076923076923,0.12757518273350754,1027,1735,0.5919308357348703,1.255440082685983,0.6648501362397821,1.2720461095100866,3.1458073994194145,1180,65,50,0.18,0.5934959349593496
Plain,7xf97,10,12,7,4,0.6245049645390071,0,1,ok,0.0,train,2583,79,58,380,73,73,1.0,0.0,2319.6575342465753,283.4931506849315,0.1222133640416925,1336,2044,0.6536203522504892,1.2467010882274054,0.7331786542923434,1.2309197651663406,3.057562487714866,1180,73,60,0.25,0.5874074074074074
Plain,7xf97,11,13,10,5,0.5778652482269504,0,1,ok,0.0,test,5526,164,135,1049,65,65,1.0,,2319.476923076923,158.6769230769231,0.06841064961596116,609,1735,0.3510086455331412,1.133752533117327,0.4250681198910082,1.5463976945244957,1.6848149622682098,2074,65,50,0.18,0.5934959349593496
Plain,7xf97,11,13,10,5,0.5778652482269504,0,1,ok,0.0,train,5526,164,135,1049,73,73,1.0,0.0,2319.6575342465753,158.05479452054794,0.06813712463460005,738,2044,0.3610567514677104,1.1412732183954117,0.4361948955916473,1.37573385518591,1.7081035998492662,2074,73,60,0.25,0.5874074074074074
Plain,7xf97,12,16,4,3,0.33176666666666665,0,0,ok,0.0,test,3337,96,71,499,65,65,1.0,,2319.476923076923,327.9076923076923,0.14137139673401164,1075,1735,0.6195965417867435,1.506291726928815,0.6811989100817438,1.4524495677233429,3.487505224734933,1445,65,50,0.18,0.5934959349593496
Plain,7xf97,12,16,4,3,0.33176666666666665,0,0,ok,0.0,train,3337,96,71,499,73,73,1.0,0.0,2319.6575342465753,315.4931506849315,0.13600850385330854,1396,2044,0.6829745596868885,1.4978014021869968,0.7494199535962877,1.389921722113503,3.4072347335993403,1445,73,60,0.25,0.5874074074074074
